Player,Goals,Assists,TotalShots,SuccessfulDribbles,BigChances,KeyPasses,Minutes,Season
Salah,19,10,132,50,13,61,2888,2019/20
Salah,22,5,126,36,12,57,3082,2020/21
Salah,23,13,139,53,18,63,2762,2021/22
Son,11,11,81,62,12,41,2486,2019/20
Son,17,10,68,39,14,75,3125,2020/21
Son,23,7,86,51,10,72,3022,2021/22
Vardy,23,5,89,23,12,32,3034,2019/20
Vardy,15,9,82,26,9,28,2844,2020/21
Vardy,15,2,54,9,2,18,1805,2021/22
Kane,18,2,81,28,4,27,2590,2019/20
Kane,23,14,137,52,14,49,3086,2020/21
Kane,17,9,133,54,19,50,3232,2021/22
Mane,18,9,77,69,10,59,2755,2019/20
Mane,11,8,94,82,11,60,2813,2020/21
Mane,16,2,98,47,9,41,2825,2021/22
Zaha,4,4,61,163,4,36,3280,2019/20
Zaha,11,2,60,55,4,30,2613,2020/21
Zaha,14,1,69,75,4,46,2762,2021/22
deBruyne,13,20,99,48,33,136,2800,2019/20
deBruyne,6,12,80,48,19,80,2001,2020/21
deBruyne,15,8,77,31,16,87,2206,2021/22
AlexanderArnold,4,13,44,21,18,87,3176,2019/20
AlexanderArnold,2,7,55,32,14,77,3033,2020/21
AlexanderArnold,2,12,51,19,18,90,2854,2021/22
Cancelo,0,0,15,27,6,17,1204,2019/20
Cancelo,2,4,25,47,7,44,2302,2020/21
Cancelo,1,7,81,56,8,39,3228,2021/22
